subject,relation,object
担担面,味道,地道
担担面,味道,辣味儿
担担面,味道,川味儿
食物,名称,梅菜扣肉
梅菜扣肉,味道,辣味儿
梅菜扣肉,口感,鲜香
梅菜扣肉,口感,入口即化
梅菜扣肉,外形,软烂鲜香
梅菜扣肉,外形,五花肉片
食物,名称,五花肉片
五花肉片,口感,鲜香
五花肉片,口感,软烂鲜香
五花肉片,口感,入口即化
食物,名称,松仁玉米
松仁玉米,味道,川辣
食物,名称,糯米藕
糯米藕,味道,川辣
食物,名称,金银小馒头
金银小馒头,味道,川辣
食物,名称,烤鸭
烤鸭,味道,川辣
食物,名称,眉州香肠
眉州香肠,味道,川辣
眉州香肠,味道,酸梅汤
眉州香肠,味道,酸辣粉
眉州香肠,味道,剁椒鱼头
眉州香肠,味道,宫保虾球
眉州香肠,味道,担担面
眉州香肠,味道,梅菜扣肉
眉州香肠,味道,五花肉片
眉州香肠,味道,松仁玉米
眉州香肠,味道,糯米藕
眉州香肠,味道,金银小馒头
眉州香肠,味道,烤鸭
眉州香肠,味道,眉州香肠
食物,名称,东北油豆炖排骨
东北油豆炖排骨,味道,排骨味
食物,名称,黄瓜丝拌猪耳朵
黄瓜丝拌猪耳朵,外形,足
食物,名称,锅包肉
锅包肉,口感,冲
锅包肉,口感,多
锅包肉,外形,冲
锅包肉,外形,多
食物,名称,牛肉炖土豆
牛肉炖土豆,外形,排骨味
牛肉炖土豆,外形,卖相不好
牛肉炖土豆,外形,双味花生拼盘
食物,名称,东南亚菜
东南亚菜,味道,地道家常菜
食物,名称,凉拌粉皮子
凉拌粉皮子,口感,爽
食物,名称,韭菜盒子
韭菜盒子,口感,野菜香味
韭菜盒子,口感,现做现烙
食物,名称,野菜丸子
野菜丸子,口感,野菜香味
野菜丸子,口感,酥
野菜丸子,口感,脆
食物,名称,猪肘子
猪肘子,口感,入味
猪肘子,口感,烂
猪肘子,口感,东北油豆炖排骨
猪肘子,口感,黄瓜丝拌猪耳朵
猪肘子,口感,锅包肉
猪肘子,口感,牛肉炖土豆
猪肘子,口感,双味花生拼盘
猪肘子,口感,东南亚菜
猪肘子,口感,凉拌粉皮子
猪肘子,口感,韭菜盒子
猪肘子,口感,野菜丸子
猪肘子,口感,猪肘子
食物,名称,舌尖中国
舌尖中国,味道,古色古香
食物,名称,面馆
面馆,口感,咸
面馆,外形,粗大
食物,名称,三鲜面
三鲜面,口感,咸
三鲜面,外形,粗大
三鲜面,外形,舌尖中国
三鲜面,外形,面馆
三鲜面,外形,三鲜面
食物,名称,皮蛋瘦肉粥
皮蛋瘦肉粥,口感,舒服
食物,名称,养生粥
养生粥,外形,新颖别致
食物,名称,肉夹馍
肉夹馍,外形,脆酥的
肉夹馍,外形,现烤的
食物,名称,海鲜粥
海鲜粥,口感,舒服
食物,名称,普洱茶叶蛋
普洱茶叶蛋,味道,有味道儿
养生粥,外形,米面皮
养生粥,外形,担担面
食物,名称,南瓜粥
南瓜粥,口感,舒服
南瓜粥,口感,酸辣粉
肉夹馍,外形,酸辣粉
肉夹馍,外形,皮蛋瘦肉粥
肉夹馍,外形,养生粥
肉夹馍,外形,肉夹馍
肉夹馍,外形,海鲜粥
肉夹馍,外形,普洱茶叶蛋
肉夹馍,外形,米面皮
肉夹馍,外形,担担面
肉夹馍,外形,南瓜粥
食物,名称,拉面
拉面,外形,不艳俗
拉面,外形,红绿的
拉面,外形,豚骨拉面
食物,名称,面条
面条,外形,不大
食物,名称,兰拉面
兰拉面,外形,不艳俗
兰拉面,外形,红绿的
兰拉面,外形,博多拉面
食物,名称,叉烧肉
叉烧肉,口感,少
叉烧肉,外形,少
兰拉面,外形,拉面
兰拉面,外形,豚骨拉面
兰拉面,外形,面条
兰拉面,外形,兰拉面
兰拉面,外形,叉烧肉
食物,名称,生牛肉
生牛肉,口感,涩感
食物,名称,三文鱼
三文鱼,外形,特别
三文鱼,外形,烧烤
食物,名称,五花肉
五花肉,口感,干
五花肉,口感,肥瘦合适
食物,名称,泡椒茄子
泡椒茄子,外形,入味
泡椒茄子,外形,小了些
食物,名称,排骨
排骨,口感,香
排骨,外形,大坨
食物,名称,麻辣宽粉
麻辣宽粉,外形,入味
麻辣宽粉,外形,不算大
麻辣宽粉,外形,火锅
麻辣宽粉,外形,鬼饮食
麻辣宽粉,外形,烧烤
麻辣宽粉,外形,生牛肉
麻辣宽粉,外形,三文鱼
麻辣宽粉,外形,五花肉
麻辣宽粉,外形,泡椒茄子
麻辣宽粉,外形,排骨
麻辣宽粉,外形,麻辣宽粉
食物,名称,菠萝飞饼
菠萝飞饼,口感,油腻
菠萝飞饼,口感,糯米团子
食物,名称,珍珠肉丸
珍珠肉丸,外形,肉丸子
食物,名称,米粉米线
米粉米线,口感,一点都不筋道
米粉米线,外形,一点都不筋道
米粉米线,外形,宽的
食物,名称,臭豆腐
臭豆腐,味道,没任何臭味
臭豆腐,外形,辣
臭豆腐,外形,干干焦焦的
食物,名称,糖油粑粑
糖油粑粑,口感,好甜
糖油粑粑,口感,凉了
食物,名称,牛肉米线
牛肉米线,口感,烂烂
牛肉米线,口感,肉丸子
牛肉米线,口感,菠萝飞饼
牛肉米线,口感,糯米团子
牛肉米线,口感,珍珠肉丸
牛肉米线,口感,米粉米线
牛肉米线,口感,臭豆腐
牛肉米线,口感,糖油粑粑
牛肉米线,口感,牛肉米线
食物,名称,烤鱼
烤鱼,外形,特色
食物,名称,鸡爪
鸡爪,外形,特色
烤鱼,外形,烤鱼
烤鱼,外形,鸡爪
食物,名称,回锅肉
回锅肉,外形,水水的
食物,名称,仔姜蛙腿
仔姜蛙腿,口感,新鲜
仔姜蛙腿,口感,烂
食物,名称,豉爆嫩兔
豉爆嫩兔,口感,沸腾
豉爆嫩兔,口感,回锅肉
豉爆嫩兔,口感,仔姜蛙腿
豉爆嫩兔,口感,豉爆嫩兔
食物,名称,沙拉自助
沙拉自助,味道,安全卫生
沙拉自助,外形,好吃
沙拉自助,外形,齐全
沙拉,味道,安全卫生
沙拉,外形,好吃
沙拉,外形,齐全
沙拉,外形,披萨
沙拉,外形,沙拉自助
沙拉,外形,沙拉
食物,名称,番茄麻辣锅
番茄麻辣锅,味道,鲜辣麻
番茄麻辣锅,味道,浓郁
番茄麻辣锅,味道,火锅
番茄麻辣锅,味道,海底捞
番茄麻辣锅,味道,番茄麻辣锅
食物,名称,松茸汤
松茸汤,口感,清淡鲜香
食物,名称,鳗鱼寿司
鳗鱼寿司,口感,新鲜
鳗鱼寿司,外形,薄厚适中
食物,名称,寿司
寿司,口感,新鲜
寿司,外形,薄厚适中
食物,名称,三文鱼寿司
三文鱼寿司,口感,新鲜
三文鱼寿司,外形,薄厚适中
三文鱼寿司,外形,松茸汤
三文鱼寿司,外形,鳗鱼寿司
三文鱼寿司,外形,寿司
三文鱼寿司,外形,三文鱼寿司
食物,名称,烧仙草
烧仙草,味道,文艺气息
烧仙草,口感,小清新
烧仙草,外形,细腻柔滑
烧仙草,外形,不算大
烧仙草,外形,小清新
食物,名称,红豆烧仙草
红豆烧仙草,口感,小清新
红豆烧仙草,外形,细腻柔滑
红豆烧仙草,外形,不算大
红豆烧仙草,外形,小清新
食物,名称,芒果绵绵冰
芒果绵绵冰,外形,超巨
芒果绵绵冰,外形,霸王餐
食物,名称,奶茶烧仙草
奶茶烧仙草,味道,文艺气息
奶茶烧仙草,口感,小清新
奶茶烧仙草,外形,细腻柔滑
奶茶烧仙草,外形,不算大
奶茶烧仙草,外形,小清新
奶茶烧仙草,外形,烧仙草
奶茶烧仙草,外形,红豆烧仙草
奶茶烧仙草,外形,芒果绵绵冰
奶茶烧仙草,外形,霸王餐
奶茶烧仙草,外形,奶茶烧仙草
食物,名称,饺子
饺子,口感,不错
食物,名称,土豆丝卷饼
土豆丝卷饼,味道,醋的香味
土豆丝卷饼,味道,浓香
土豆丝卷饼,味道,饺子
土豆丝卷饼,味道,土豆丝卷饼
食物,名称,多宝鱼
多宝鱼,味道,不怎么新
多宝鱼,味道,多宝鱼
食物,名称,新天烘焙
新天烘焙,味道,好吃
食物,名称,肉松面包
肉松面包,味道,好吃
食物,名称,椰蓉面包
椰蓉面包,味道,好吃
椰蓉面包,味道,新天烘焙
椰蓉面包,味道,肉松面包
椰蓉面包,味道,椰蓉面包
食物,名称,肯德基
肯德基,外形,横着出去
食物,名称,感恩桶
感恩桶,外形,横着出去
食物,名称,老北套餐
老北套餐,外形,横着出去
老北套餐,外形,肯德基
老北套餐,外形,感恩桶
老北套餐,外形,老北套餐
食物,名称,咖喱大虾
咖喱大虾,口感,不新鲜
咖喱大虾,外形,软趴趴的
食物,名称,烤猪颈肉
烤猪颈肉,口感,肥腻
烤猪颈肉,口感,烤鱼
烤猪颈肉,口感,咖喱大虾
烤猪颈肉,口感,烤猪颈肉
食物,名称,烤羊棒
烤羊棒,外形,大
烤羊棒,外形,烤羊腿
食物,名称,西贝
西贝,口感,爽
食物,名称,沙棘汁
沙棘汁,味道,浓郁
沙棘汁,味道,酸
沙棘汁,味道,酸汤莜面鱼鱼
食物,名称,黄米凉糕
黄米凉糕,口感,甜的
黄米凉糕,口感,腻
黄米凉糕,口感,香甜软糯
食物,名称,龙之梦
龙之梦,口感,爽
龙之梦,口感,烤羊棒
龙之梦,口感,烤羊腿
龙之梦,口感,西贝
龙之梦,口感,沙棘汁
龙之梦,口感,酸汤莜面鱼鱼
龙之梦,口感,黄米凉糕
龙之梦,口感,龙之梦
食物,名称,冰淇淋
冰淇淋,外形,耀眼
冰淇淋,外形,冰淇淋
食物,名称,烧饼
烧饼,味道,新鲜
烧饼,味道,烧饼
食物,名称,盐府老宅豆腐
盐府老宅豆腐,味道,口淡
盐府老宅豆腐,口感,不怎么入味
盐府老宅豆腐,口感,嫩
食物,名称,肥牛
肥牛,口感,肥腻
食物,名称,盐商椒麻鸡
盐商椒麻鸡,口感,麻麻的
食物,名称,养生山药红枣汁
养生山药红枣汁,味道,浓浓的
养生山药红枣汁,味道,红枣味
养生山药红枣汁,口感,甜
养生山药红枣汁,口感,浓稠
养生山药红枣汁,口感,好
食物,名称,香煎米粑
香煎米粑,口感,焦焦的
香煎米粑,外形,不腻
香煎米粑,外形,焦焦的
食物,名称,豆汤豌豆苗
豆汤豌豆苗,味道,怪怪的
食物,名称,娇子肥牛
娇子肥牛,外形,肥腻
娇子肥牛,外形,大大的
食物,名称,霸王餐
霸王餐,外形,古香古色
霸王餐,外形,盐府老宅豆腐
霸王餐,外形,肥牛
霸王餐,外形,盐商椒麻鸡
霸王餐,外形,养生山药红枣汁
霸王餐,外形,香煎米粑
霸王餐,外形,豆汤豌豆苗
霸王餐,外形,娇子肥牛
霸王餐,外形,霸王餐
食物,名称,午餐肉
午餐肉,口感,有韧度
午餐肉,口感,嫩
食物,名称,海霸王虾饺
海霸王虾饺,味道,臭的
海霸王虾饺,味道,骚臭味
食物,名称,千层肚
千层肚,口感,新鲜
千层肚,外形,脆
千层肚,外形,一片片
食物,名称,毛肚
毛肚,口感,新鲜
毛肚,外形,脆
毛肚,外形,一片片
食物,名称,肥羊
肥羊,外形,嫩
肥羊,外形,多
食物,名称,火锅
火锅,味道,正宗
食物,名称,雪花牛肉
雪花牛肉,外形,老
雪花牛肉,外形,大一片
食物,名称,虾饺
虾饺,味道,骚臭味
虾饺,口感,臭的
虾饺,口感,嫩
食物,名称,脆皮肠
脆皮肠,味道,没有异味
食物,名称,黄喉
黄喉,口感,不地道
黄喉,口感,脆
黄喉,外形,嫩
黄喉,外形,大片
黄喉,外形,午餐肉
黄喉,外形,海霸王虾饺
黄喉,外形,千层肚
黄喉,外形,毛肚
黄喉,外形,肥羊
黄喉,外形,火锅
黄喉,外形,雪花牛肉
黄喉,外形,虾饺
黄喉,外形,脆皮肠
黄喉,外形,黄喉
食物,名称,清炒虾仁
清炒虾仁,外形,小
食物,名称,清蒸桂鱼
清蒸桂鱼,外形,巴拉不下来
清蒸桂鱼,外形,酱爆八爪鱼
清蒸桂鱼,外形,老虎蟹
食物,名称,糖醋排骨
糖醋排骨,味道,咸
食物,名称,烧菜
烧菜,口感,咸
烧菜,口感,烧焦
烧菜,口感,清炒虾仁
烧菜,口感,清蒸桂鱼
烧菜,口感,酱爆八爪鱼
烧菜,口感,老虎蟹
烧菜,口感,糖醋排骨
烧菜,口感,烧菜
食物,名称,手切鲜羊肉
手切鲜羊肉,口感,好
手切鲜羊肉,口感,老北京涮羊肉
手切鲜羊肉,口感,手切鲜羊肉
食物,名称,厚牛排
厚牛排,外形,嫩
厚牛排,外形,厚
食物,名称,海陆大餐
海陆大餐,外形,嫩
海陆大餐,外形,厚
海陆大餐,外形,厚牛排
海陆大餐,外形,海陆大餐
食物,名称,烤晶鱼
烤晶鱼,口感,咸
烤晶鱼,外形,好大一抹绿色
食物,名称,黑牛
黑牛,口感,新鲜
黑牛,口感,嫩
食物,名称,冷面
冷面,味道,有酸甜
冷面,味道,咸口
冷面,口感,有咸口
冷面,口感,烤晶鱼
冷面,口感,黑牛
冷面,口感,冷面
食物,名称,胡椒猪肚鸡
胡椒猪肚鸡,味道,吃不惯
胡椒猪肚鸡,口感,胡椒味
胡椒猪肚鸡,外形,酥
胡椒猪肚鸡,外形,多
胡椒猪肚鸡,外形,火锅
食物,名称,捞王
捞王,味道,胡椒味
食物,名称,煲仔饭
煲仔饭,味道,清淡
煲仔饭,口感,新鲜
煲仔饭,口感,清淡
食物,名称,蛋饺
蛋饺,外形,香
蛋饺,外形,多
蛋饺,外形,胡椒猪肚鸡
蛋饺,外形,火锅
蛋饺,外形,捞王
蛋饺,外形,煲仔饭
蛋饺,外形,蛋饺
食物,名称,小点心
小点心,口感,撤空盘子
食物,名称,烤生蚝
烤生蚝,外形,多
烤生蚝,外形,小点心
烤生蚝,外形,烤生蚝
食物,名称,青菜豆腐锅仔
青菜豆腐锅仔,口感,油
青菜豆腐锅仔,口感,青菜豆腐锅仔
食物,名称,叉烧包
叉烧包,味道,咸
食物,名称,南瓜煲
南瓜煲,外形,不错
食物,名称,椒盐虾
椒盐虾,口感,辣
椒盐虾,口感,油腻
食物,名称,泡饭
泡饭,口感,鲜
泡饭,口感,脆脆的
食物,名称,腐皮虾卷
腐皮虾卷,外形,不腻口
腐皮虾卷,外形,大
腐皮虾卷,外形,凤爪
食物,名称,海鲜泡饭
海鲜泡饭,口感,鲜
海鲜泡饭,口感,脆脆的
海鲜泡饭,口感,叉烧包
海鲜泡饭,口感,南瓜煲
海鲜泡饭,口感,椒盐虾
海鲜泡饭,口感,泡饭
海鲜泡饭,口感,腐皮虾卷
海鲜泡饭,口感,凤爪
海鲜泡饭,口感,海鲜泡饭
食物,名称,日本料理
日本料理,味道,沒果汁
食物,名称,羊排
羊排,口感,烤好拿
食物,名称,牛排
牛排,口感,烤好拿
牛排,口感,日本料理
牛排,口感,羊排
牛排,口感,牛排
食物,名称,风口上会飞的鱼
风口上会飞的鱼,口感,重口味
风口上会飞的鱼,口感,脆脆的
风口上会飞的鱼,口感,葱油有机花菜
食物,名称,小炒黄牛肉
小炒黄牛肉,口感,浓厚
小炒黄牛肉,口感,炒出来的
小炒黄牛肉,口感,番薯饼
食物,名称,棒棒棒虾
棒棒棒虾,口感,没啥味道
棒棒棒虾,外形,硬硬的
食物,名称,非一般腐竹
非一般腐竹,味道,好味
非一般腐竹,味道,客家豆腐
非一般腐竹,味道,风口上会飞的鱼
非一般腐竹,味道,葱油有机花菜
非一般腐竹,味道,小炒黄牛肉
非一般腐竹,味道,番薯饼
非一般腐竹,味道,棒棒棒虾
非一般腐竹,味道,非一般腐竹
火锅,外形,炭火的
火锅,外形,火锅
食物,名称,冬阴功汤
冬阴功汤,口感,新鲜
冬阴功汤,口感,油腻
冬阴功汤,口感,黄咖喱鸡
冬阴功汤,口感,三杯鸡
冬阴功汤,口感,泰式烤猪颈肉
冬阴功汤,口感,菠萝海鲜饭
冬阴功汤,口感,冬阴功汤
食物,名称,辣子鸡
辣子鸡,味道,正宗
辣子鸡,味道,霸王餐
食物,名称,萍乡小炒肉
萍乡小炒肉,口感,正宗
萍乡小炒肉,口感,外酥里嫩
食物,名称,土豆丸
土豆丸,口感,正宗
土豆丸,口感,外酥里嫩
食物,名称,米椒辣子鸡
米椒辣子鸡,口感,正宗
米椒辣子鸡,口感,外酥里嫩
土豆丸,口感,辣子鸡
土豆丸,口感,霸王餐
土豆丸,口感,萍乡小炒肉
土豆丸,口感,土豆丸
土豆丸,口感,米椒辣子鸡
食物,名称,火焰虾
火焰虾,口感,笑辣
火焰虾,口感,嫩
火焰虾,口感,绿茶
食物,名称,海鲜咖喱卷
海鲜咖喱卷,外形,稀
海鲜咖喱卷,外形,少
海鲜咖喱卷,外形,火焰虾
海鲜咖喱卷,外形,绿茶
海鲜咖喱卷,外形,海鲜咖喱卷
食物,名称,乐天玛特
乐天玛特,外形,漂亮
食物,名称,酸奶
酸奶,外形,漂亮
酸奶,外形,乐天玛特
酸奶,外形,酸奶
食物,名称,小凉菜
小凉菜,口感,燥
食物,名称,啤酒
啤酒,味道,熏
啤酒,味道,小凉菜
啤酒,味道,啤酒
食物,名称,煎饼卷小豆腐
煎饼卷小豆腐,外形,好看
煎饼卷小豆腐,外形,煎饼卷小豆腐
食物,名称,黑鱼蕃茄锅
黑鱼蕃茄锅,外形,浓郁
黑鱼蕃茄锅,外形,两大一小
食物,名称,蕃茄锅汤
蕃茄锅汤,味道,浓郁
蕃茄锅汤,味道,黑鱼蕃茄锅
蕃茄锅汤,味道,蕃茄锅汤
食物,名称,烤哇哇叫
烤哇哇叫,味道,美味
食物,名称,炉鱼
炉鱼,味道,烤鱼的香味
炉鱼,外形,冰冰凉凉的
炉鱼,外形,可爱
食物,名称,青皖烤鱼
青皖烤鱼,味道,香
青皖烤鱼,口感,越烤越入味
青皖烤鱼,口感,鲜嫩可口
青皖烤鱼,口感,脆皮
烤鱼,味道,香
烤鱼,口感,香味
烤鱼,口感,脆皮
烤鱼,外形,鲜嫩可口
烤鱼,外形,可爱
炉鱼,外形,水
炉鱼,外形,烤哇哇叫
炉鱼,外形,炉鱼
炉鱼,外形,青皖烤鱼
炉鱼,外形,烤鱼
食物,名称,卤菜
卤菜,口感,有味道
卤菜,外形,不腻人
卤菜,外形,大
食物,名称,烧白
烧白,外形,不腻人
烧白,外形,大
食物,名称,什么鸡
什么鸡,外形,大
食物,名称,剁椒茄子
剁椒茄子,口感,偏辣
剁椒茄子,口感,不腻人
剁椒茄子,口感,卤菜
剁椒茄子,口感,烧白
剁椒茄子,口感,什么鸡
剁椒茄子,口感,剁椒茄子
食物,名称,鱼香肉丝
鱼香肉丝,口感,甜甜的
食物,名称,炒猪肝
炒猪肝,口感,嫩滑
食物,名称,韭菜炒鸡蛋
韭菜炒鸡蛋,外形,老
韭菜炒鸡蛋,外形,鱼香肉丝
韭菜炒鸡蛋,外形,炒猪肝
韭菜炒鸡蛋,外形,韭菜炒鸡蛋
食物,名称,乳酪塔
乳酪塔,味道,酸甜
食物,名称,辣肉松面包
辣肉松面包,味道,辣味
辣肉松面包,口感,浓郁
辣肉松面包,口感,满软的
辣肉松面包,外形,油腻
辣肉松面包,外形,厚厚的
辣肉松面包,外形,奶油蛋糕
辣肉松面包,外形,乳酪塔
辣肉松面包,外形,辣肉松面包
食物,名称,热狗汉堡
热狗汉堡,外形,多
热狗汉堡,外形,照烧
热狗汉堡,外形,薯条
热狗汉堡,外形,张宇饼
热狗汉堡,外形,星巴克
热狗汉堡,外形,咖喱
热狗汉堡,外形,摇滚沙拉
热狗汉堡,外形,热狗汉堡
食物,名称,呷哺呷哺
呷哺呷哺,口感,新鲜
呷哺呷哺,口感,饱
呷哺呷哺,口感,呷哺呷哺
食物,名称,榴莲烤鸡
榴莲烤鸡,口感,咸
榴莲烤鸡,外形,好大一块
食物,名称,榴莲大肠
榴莲大肠,味道,咸
食物,名称,焦糖布丁
焦糖布丁,味道,甜
焦糖布丁,外形,奶味十足
焦糖布丁,外形,小小的
食物,名称,红糖糍粑
红糖糍粑,口感,饱
红糖糍粑,外形,粘在盘子上
红糖糍粑,外形,块头不小
红糖糍粑,外形,榴莲烤鸡
红糖糍粑,外形,榴莲大肠
红糖糍粑,外形,焦糖布丁
红糖糍粑,外形,红糖糍粑
食物,名称,奇异果多多
奇异果多多,味道,酸
食物,名称,芒果颗粒
芒果颗粒,味道,酸
芒果颗粒,味道,芒果西米露
食物,名称,西柚多多
西柚多多,口感,苦
西柚多多,口感,不是很好
西柚多多,口感,七分甜
西柚多多,口感,奇异果多多
西柚多多,口感,芒果颗粒
西柚多多,口感,芒果西米露
西柚多多,口感,西柚多多
食物,名称,酸奶吐司
酸奶吐司,外形,漂亮
食物,名称,芝士肉酱薯条
芝士肉酱薯条,口感,干
冰淇淋,外形,硬硬的
冰淇淋,外形,球球面包
冰淇淋,外形,奶酪鸡肉
食物,名称,蓝天白云
蓝天白云,外形,甜甜的
蓝天白云,外形,好看
蓝天白云,外形,酸奶吐司
蓝天白云,外形,芝士肉酱薯条
蓝天白云,外形,冰淇淋
蓝天白云,外形,奶酪鸡肉
蓝天白云,外形,蓝天白云
锅包肉,口感,不错
饺子,口感,出色
饺子,口感,猪肉香菇
饺子,口感,鲍鱼茄子煲
饺子,口感,肉三鲜
饺子,口感,锅包肉
饺子,口感,饺子
烤生蚝,口感,淡
烤生蚝,外形,小
烤生蚝,外形,饺子
烤生蚝,外形,馄饨
烤生蚝,外形,海鲜
食物,名称,龙虾丸
龙虾丸,味道,辣味
龙虾丸,味道,膻
食物,名称,芝士烤大虾
芝士烤大虾,口感,淡
芝士烤大虾,外形,老
雪花牛肉,味道,膻
雪花牛肉,味道,辣味
食物,名称,咕嘟草帽鱼
咕嘟草帽鱼,味道,原味的
咕嘟草帽鱼,味道,腥
咕嘟草帽鱼,口感,不腥
咕嘟草帽鱼,口感,嫩
咕嘟草帽鱼,外形,雪白
咕嘟草帽鱼,外形,晾衣鹅肠
咕嘟草帽鱼,外形,龙虾丸
咕嘟草帽鱼,外形,芝士烤大虾
咕嘟草帽鱼,外形,雪花牛肉
咕嘟草帽鱼,外形,咕嘟草帽鱼
食物,名称,老火锅
老火锅,味道,新鲜
食物,名称,渣渣老火锅
渣渣老火锅,味道,辣
渣渣老火锅,味道,新鲜
渣渣老火锅,味道,不香
食物,名称,嫩牛肉片
嫩牛肉片,味道,辣
嫩牛肉片,口感,不香
嫩牛肉片,口感,不错
食物,名称,发鱿鱼
发鱿鱼,味道,不香
发鱿鱼,口感,辣
发鱿鱼,口感,不错
发鱿鱼,口感,老火锅
发鱿鱼,口感,渣渣老火锅
发鱿鱼,口感,嫩牛肉片
发鱿鱼,口感,发鱿鱼
食物,名称,钵钵青菜
钵钵青菜,口感,温和
食物,名称,相思牛肉
相思牛肉,口感,辣
相思牛肉,口感,好
火锅,口感,温和
冰淇淋,口感,好冰
食物,名称,有机花菜
有机花菜,口感,肥
有机花菜,口感,腻
食物,名称,蜜糖吐司
蜜糖吐司,口感,好冰
蜜糖吐司,口感,钵钵青菜
蜜糖吐司,口感,相思牛肉
蜜糖吐司,口感,火锅
蜜糖吐司,口感,冰淇淋
