subject,relation,object,count
五花肉,口感,干,2
全聚德,外形,显眼,2
全聚德,外形,面貌一新,2
兰拉面,外形,不艳俗,2
兰拉面,外形,叉烧肉,2
兰拉面,外形,红绿的,2
兰拉面,外形,豚骨拉面,2
兰拉面,外形,面条,2
养生粥,外形,新颖别致,2
养生粥,外形,米面皮,2
冬阴功汤,口感,冬阴功,2
冬阴功汤,口感,新鲜,2
冬阴功汤,口感,油腻,2
冬阴功汤,口感,菠萝炒饭,2
冬阴功汤,口感,菠萝饭,2
冰淇淋,外形,冰淇淋,2
冰糖莲子桂圆汤,口感,冰的,2
冰糖莲子桂圆汤,口感,甜,2
冰糖莲子桂圆汤,外形,大,2
冰糖莲子桂圆汤,外形,饱满,2
冷面,口感,冷面,2
冷面,口感,有咸口,2
冷面,口感,烤晶鱼,2
冷面,口感,黑牛,2
凤爪,味道,入味,2
凤爪,味道,火锅,2
凤爪,味道,炒鸡,2
凤爪,味道,红辣椒之旅,2
剁椒牛肉米线,口感,辣,2
剁椒牛肉米线,外形,井然有序,2
剁椒牛肉米线,外形,光滑明亮,2
剁椒牛肉米线,外形,多,2
剁椒茄子,口感,什么鸡,2
剁椒茄子,口感,剁椒茄子,2
剁椒茄子,口感,卤菜,2
剁椒茄子,口感,烧白,2
剁椒鱼头,口感,入口即化,2
剁椒鱼头,口感,软烂鲜香,2
剁椒鱼头,口感,辣,2
十三香,外形,个头不大,2
十三香,外形,啤酒,2
十三香,外形,大排档,2
十三香,外形,带辣味,2
十三香,外形,烤生蚝,2
千层饼,外形,千层饼,2
千层饼,外形,山药,2
千层饼,外形,意面,2
千层饼,外形,海鲜周打面包汤,2
千层饼,外形,红球山药泥,2
千层饼,外形,罗勒鲜虾,2
千层饼,外形,菠萝咕噜肉,2
千层饼,外形,面包汤,2
卷馍,味道,味美价廉,2
卷馍,外形,没有味,2
卷馍,外形,酸辣粉,2
卷馍,外形,高了点,2
叉烧包,口感,不腻,2
叉烧肉,外形,少,2
发糕,口感,发糕,2
发糕,口感,发糕虾筒,2
发糕,口感,碧绿翡翠,2
发糕,口感,船工鱼,2
发鱿鱼,口感,发鱿鱼,2
发鱿鱼,口感,嫩牛肉片,2
发鱿鱼,口感,渣渣老火锅,2
发鱿鱼,口感,老火锅,2
呷哺呷哺,口感,呷哺呷哺,2
咕嘟草帽鱼,外形,咕嘟草帽鱼,2
咕嘟草帽鱼,外形,晾衣鹅肠,2
咕嘟草帽鱼,外形,芝士烤大虾,2
咕嘟草帽鱼,外形,雪白,2
咕嘟草帽鱼,外形,雪花牛肉,2
咕嘟草帽鱼,外形,龙虾丸,2
咖啡,味道,华夫饼,2
咖啡,味道,卡布奇诺,2
咖啡,味道,咖啡,2
咖啡,味道,大阪烧,2
咖啡,味道,拿铁,2
咖啡,味道,海鲜大阪烧,2
咖啡,味道,玉子烧,2
咖啡,味道,霸王餐,2
咖啡,外形,下午茶,2
咖啡,外形,提拉米苏,2
咖啡,外形,焦糖玛奇朵摩卡榛果拿铁,2
咖啡,外形,精品咖啡,2
咖喱大虾,外形,软趴趴的,2
咸蛋黄南瓜,口感,一品煲,2
咸蛋黄南瓜,口感,咸蛋黄南瓜,2
咸蛋黄南瓜,口感,小紫薯,2
咸蛋黄南瓜,口感,米饭,2
咸蛋黄南瓜,口感,粥,2
咸蛋黄南瓜,口感,菌菇煎包,2
哈尔滨红肠,外形,薄,2
啤酒,味道,啤酒,2
啤酒,味道,小凉菜,2
啤酒,外形,啤酒,2
回锅肉,外形,水水的,2
土豆丝卷饼,味道,土豆丝卷饼,2
土豆丝卷饼,味道,饺子,2
土豆丸,口感,外酥里嫩,2
土豆丸,口感,正宗,2
土豆丸,口感,米椒辣子鸡,2
土豆丸,口感,萍乡小炒肉,2
土豆丸,口感,辣子鸡,2
土豆丸,口感,霸王餐,2
多宝鱼,味道,多宝鱼,2
奇异果多多,味道,酸,2
奶茶烧仙草,外形,奶茶烧仙草,2
奶茶烧仙草,外形,烧仙草,2
奶茶烧仙草,外形,红豆烧仙草,2
奶茶烧仙草,外形,芒果绵绵冰,2
奶茶烧仙草,外形,霸王餐,2
奶黄包,口感,香甜可口,2
家常茄子,外形,油腻,2
寿司,外形,刺身,2
寿司,外形,北极贝,2
寿司,外形,外卖寿司,2
寿司,外形,尚品寿司,2
寿司,外形,料理,2
寿司,外形,樱花寿司,2
寿司,外形,焦糖三文鱼,2
寿司,外形,甜虾刺身,2
寿司,外形,白金枪,2
寿司,外形,盐烧三文鱼头,2
寿司,外形,章鱼小丸子,2
寿司,外形,精致小巧,2
寿司,外形,薄厚适中,2
小丸子,外形,卷心菜,2
小丸子,外形,扇贝小丸子,2
小丸子,外形,芝士的拉丝,2
小丸子,外形,鸡肉串,2
小凉菜,口感,燥,2
小卤肉饭,外形,小卤肉饭,2
小笼,外形,皮薄陷厚,2
小龙虾,外形,去头,2
山粉圆烧肉,味道,山粉圆烧肉,2
山粉圆烧肉,味道,糖醋鱼,2
干蒸烧麦,口感,干蒸烧麦,2
干蒸烧麦,口感,浓厚紧致,2
年糕玉米,口感,入味,2
年糕玉米,口感,脆,2
年糕玉米,口感,黄黄的,2
年糕玉米,味道,没带心儿,2
年糕玉米,味道,没有味道,2
年糕玉米,外形,小小的,2
年糕玉米,外形,黄黄的,2
年糕锅,口感,味增汤,2
年糕锅,口感,味增饭团,2
年糕锅,口感,年糕锅,2
年糕锅,口感,金吉鱼,2
开背虾,口感,嫩,2
开背虾,口感,滑,2
开背虾,外形,油而不腻,2
开背虾,外形,碧绿翡翠,2
意式咖啡,外形,青绿色的,2
手切鲜羊肉,口感,手切鲜羊肉,2
手撕羔羊排,外形,三丝炒米线,2
手撕羔羊排,外形,手撕羔羊排,2
手撕羔羊排,外形,烤培根卷,2
手撕羔羊排,外形,烧烤店,2
手撕羔羊排,外形,鲜烤花蛤,2
手撕豇豆,外形,发黄,2
护心肉,口感,喜来稀肉,2
护心肉,口感,嫩豆腐汤,2
护心肉,口感,护心肉,2
披萨,口感,咸,2
披萨,口感,脆脆的,2
披萨,味道,正宗,2
披萨,外形,中式番薯酱,2
披萨,外形,奥尔良脆鸡披萨,2
披萨,外形,小美式,2
披萨,外形,芝士,2
披萨,外形,超值披萨,2
担担面,味道,地道,2
担担面,味道,川味儿,2
担担面,味道,川辣,2
担担面,味道,辣味儿,2
拉面,外形,不艳俗,2
拉面,外形,红绿的,2
排骨,外形,大坨,2
月饼,味道,吐司,2
月饼,味道,月饼,2
杨枝甘露,口感,清淡口,2
杨枝甘露,外形,清淡口,2
杨枝甘露,外形,精致,2
松茸汤,口感,清淡鲜香,2
板烧,味道,摩登烧,2
板烧,味道,板烧,2
板烧,味道,烤翅,2
板烧,味道,烩面,2
板烧,味道,盐味串烧大虾,2
板烧,味道,秋刀鱼,2
板烧,味道,辣汁烤香菇,2
板烧,味道,霸王餐,2
板烧,味道,鸡肉卷,2
桃园三结义,外形,好老,2
梅菜扣肉,口感,入口即化,2
梅菜扣肉,口感,鲜香,2
梅菜扣肉,味道,辣味儿,2
梅菜扣肉,外形,五花肉片,2
梅菜扣肉,外形,软烂鲜香,2
棒棒棒虾,外形,硬硬的,2
椰蓉面包,味道,新天烘焙,2
椰蓉面包,味道,椰蓉面包,2
椰蓉面包,味道,肉松面包,2
榴莲烤鸡,外形,好大一块,2
樱花,味道,味增汤,2
樱花,味道,奶酪猪排,2
樱花,味道,樱花,2
樱花,味道,沙拉,2
樱花,味道,炸豆腐,2
樱花,味道,猪排,2
樱花,味道,脆皮豆腐,2
樱花,味道,雪花牛肉套餐,2
樱花,味道,饭,2
水波蛋,外形,流水,2
水波蛋,外形,腥味,2
汉堡,口感,凯撒色拉,2
汉堡,口感,南瓜浓汤,2
汉堡,口感,奶油蘑菇汤,2
汉堡,口感,小面包,2
汉堡,口感,巧克力蛋糕,2
汉堡,口感,巴贝拉萨莉亚,2
汉堡,口感,布丁,2
汉堡,口感,提拉米苏,2
汉堡,口感,柠檬塔,2
汉堡,口感,橙汁西瓜汁,2
汉堡,口感,汤,2
汉堡,口感,牛排,2
汉堡,口感,牛排馆,2
汉堡,口感,西冷,2
汉堡,口感,起泡酒,2
汉堡,口感,鲜嫩多汁,2
汤,味道,鲜,2
汤螺蛳,口感,清淡,2
汽锅鸡,外形,淡淡的,2
沙拉,外形,沙拉,2
沙拉,外形,沙拉自助,2
沙棘汁,味道,浓郁,2
油炸腐竹,外形,油渣,2
泡菜炒五花肉,口感,苦味,2
泡菜炒五花肉,外形,一个颜色,2
泡菜炒五花肉,外形,秘制鸡翅,2
泡菜炒五花肉,外形,米饭,2
泡菜炒五花肉,外形,蜜汁鸡翅,2
流沙包,口感,利苑,2
流沙包,口感,小笼,2
流沙包,口感,榴莲酥,2
流沙包,口感,点心,2
流沙包,口感,盐焗鸡,2
流沙包,口感,虾仁粥,2
流沙包,口感,虾汁唐生菜,2
流沙包,口感,蜜汁叉烧,2
海陆大餐,外形,厚牛排,2
海陆大餐,外形,海陆大餐,2
海鲜咖喱卷,外形,海鲜咖喱卷,2
海鲜咖喱卷,外形,火焰虾,2
海鲜咖喱卷,外形,绿茶,2
海鲜泡饭,口感,凤爪,2
海鲜泡饭,口感,南瓜煲,2
海鲜泡饭,口感,叉烧包,2
海鲜泡饭,口感,椒盐虾,2
海鲜泡饭,口感,泡饭,2
海鲜泡饭,口感,海鲜泡饭,2
海鲜泡饭,口感,腐皮虾卷,2
添福,味道,添福,2
清炒虾仁,外形,三凤桥,2
清炒虾仁,外形,汤螺蛳,2
清炒虾仁,外形,清炒虾仁,2
清炒虾仁,外形,玉兰饼,2
清炒虾仁,外形,蟹粉豆腐,2
清炒虾仁,外形,西餐,2
清炒虾仁,外形,酱排骨,2
清炒虾仁,外形,酱油红汤底,2
清炒虾仁,外形,鲜肉月饼,2
清蒸桂鱼,外形,巴拉不下来,2
渣渣老火锅,味道,辣,2
满记,外形,满记,2
满记,外形,芒果班戟,2
满记,外形,芒果黑糯米,2
满记,外形,香蕉班戟,2
火锅,口感,温和,2
火锅,外形,火锅店,2
火锅,外形,炭火的,2
炉鱼,味道,烤鱼的香味,2
炉鱼,外形,冰冰凉凉的,2
炉鱼,外形,可爱,2
炉鱼,外形,水,2
炉鱼,外形,烤哇哇叫,2
炉鱼,外形,烤鱼,2
炉鱼,外形,青皖烤鱼,2
炒饭,口感,香,2
烟熏三文鱼,口感,咸咸的,2
烟熏三文鱼,口感,硬,2
烟熏三文鱼,口感,腥味,2
烟熏三文鱼,味道,咸咸的,2
烤晶鱼,外形,好大一抹绿色,2
烤猪颈肉,口感,咖喱大虾,2
烤猪颈肉,口感,烤猪颈肉,2
烤生蚝,外形,小,2
烤生蚝,外形,小点心,2
烤生蚝,外形,海鲜,2
烤生蚝,外形,肥美,2
烤西红柿,味道,培根炒土豆,2
烤西红柿,味道,曲奇饼干,2
烤西红柿,味道,烟熏三文鱼水波蛋,2
烤西红柿,味道,烤面包,2
烤西红柿,味道,美式咖啡,2
烤西红柿,味道,腥味,2
烤鱼,味道,小锅米线,2
烤鱼,味道,手撕豇豆,2
烤鱼,味道,汽锅鸡,2
烤鱼,味道,清炒丝瓜苗,2
烤鱼,味道,烤鱼,2
烤鱼,味道,烤鸡,2
烤鱼,外形,烤串串,2
烧烤,外形,个头不大,2
烧烤,外形,十三香,2
烧白,外形,大,2
烧菜,口感,清炒虾仁,2
烧菜,口感,清蒸桂鱼,2
烧菜,口感,烧菜,2
烧菜,口感,老虎蟹,2
烧菜,口感,酱爆八爪鱼,2
热狗汉堡,外形,摇滚沙拉,2
热狗汉堡,外形,热狗汉堡,2
焗南瓜条,味道,大鸭梨,2
焗南瓜条,味道,宫爆鸡丁,2
焗南瓜条,味道,焗南瓜条,2
焗南瓜条,味道,鱼头泡饼,2
煎饼卷小豆腐,外形,煎饼卷小豆腐,2
牛排,口感,日本料理,2
牛排,口感,牛排,2
牛排,口感,羊排,2
牛肉米线,口感,牛肉米线,2
牛肉米线,口感,珍珠肉丸,2
牛肉米线,口感,米粉米线,2
牛肉米线,口感,糖油粑粑,2
牛肉米线,口感,糯米团子,2
牛肉米线,口感,肉丸子,2
牛肉米线,口感,臭豆腐,2
牛肉米线,口感,菠萝飞饼,2
牛蛙煲,味道,牛蛙煲,2
牛蛙煲,味道,米饭,2
牛蛙煲,味道,肉蟹煲,2
猪肘子,口感,东北油豆炖排骨,2
猪肘子,口感,东南亚菜,2
猪肘子,口感,凉拌粉皮子,2
猪肘子,口感,双味花生拼盘,2
猪肘子,口感,牛肉炖土豆,2
猪肘子,口感,猪肘子,2
猪肘子,口感,野菜丸子,2
猪肘子,口感,锅包肉,2
猪肘子,口感,韭菜盒子,2
猪肘子,口感,黄瓜丝拌猪耳朵,2
玫瑰糕,外形,东坡肉,2
玫瑰糕,外形,元宝大虾,2
玫瑰糕,外形,汤,2
玫瑰糕,外形,玫瑰糕,2
玫瑰糕,外形,秋葵炒木耳,2
玫瑰糕,外形,笋干老鸭煲,2
男眼镜,口感,不错,2
番茄牛腩米线,外形,光滑明亮,2
番茄牛腩米线,外形,番茄牛腩米线,2
番茄麻辣锅,味道,番茄麻辣锅,2
白锅汤,口感,中辣微麻,2
白锅汤,味道,没有味道,2
皇后面包,口感,丰富纤维,2
皇后面包,口感,入口松软,2
皇后面包,口感,香气四溢,2
皇后面包,味道,新鲜,2
盐味串烧大虾,外形,个大肉多,2
眉州香肠,味道,五花肉片,2
眉州香肠,味道,宫保虾球,2
眉州香肠,味道,松仁玉米,2
眉州香肠,味道,烤鸭,2
眉州香肠,味道,眉州香肠,2
眉州香肠,味道,糯米藕,2
眉州香肠,味道,酸梅汤,2
眉州香肠,味道,金银小馒头,2
石盘烤肉,口感,油烟味,2
石盘烤肉,外形,喷火烤肉,2
石盘烤肉,外形,小的可怜,2
石盘烤肉,外形,牛雪花,2
石盘烤肉,外形,缩手缩脚,2
石盘烤肉,外形,芝士炒饭,2
秘制鸡翅,外形,红呼呼,2
米饭,外形,红呼呼,2
米饭,外形,金黄色的,2
粥,口感,冬瓜蜜,2
粥,口感,招牌云吞面,2
粥,口感,皮蛋瘦肉粥,2
粥,口感,面,2
糖醋排骨,味道,咸,2
红烧肉,口感,佛跳墙,2
红烧肉,口感,炒杏鲍菇,2
红烧肉,口感,红烧肉,2
红烧肉,外形,水煮虹鳟,2
红烧肉,外形,红烧肉,2
红烧肉,外形,羊腿肉,2
红烧肉,外形,麻酱油麦菜,2
红糖糍粑,外形,榴莲大肠,2
红糖糍粑,外形,榴莲烤鸡,2
红糖糍粑,外形,焦糖布丁,2
红糖糍粑,外形,红糖糍粑,2
羊排,口感,土豆炖大鹅,2
羊排,口感,拌黄瓜拉皮,2
羊排,口感,水煮鱼,2
羊排,口感,烤羊排,2
羊排,口感,羊排,2
羊排,口感,铁锅炖江鱼,2
美式披萨,味道,披萨,2
美式披萨,味道,正宗,2
美式披萨,味道,沙拉,2
美式披萨,味道,美式披萨,2
美式披萨,味道,饺子,2
老北京火锅,外形,内蒙蒸羊肉卷,2
老北京火锅,外形,奶黄包,2
老北京火锅,外形,小点心脆皮香蕉,2
老北京火锅,外形,手抓羊排,2
老北京火锅,外形,景泰蓝火锅炉,2
老北京火锅,外形,牛腩哨子,2
老北京火锅,外形,羊蝎子,2
老北京火锅,外形,老北京杂酱面,2
老北京火锅,外形,面条,2
老北套餐,外形,感恩桶,2
老北套餐,外形,老北套餐,2
肉夹馍,外形,南瓜粥,2
肉夹馍,外形,担担面,2
肉夹馍,外形,普洱茶叶蛋,2
肉夹馍,外形,海鲜粥,2
肉夹馍,外形,现烤的,2
肉夹馍,外形,皮蛋瘦肉粥,2
肉夹馍,外形,脆酥的,2
肉汁萝卜,味道,入味,2
自制牛排,味道,一番茄锅,2
自制牛排,味道,二菌汤锅,2
自制牛排,味道,哈密瓜,2
自制牛排,味道,寿司,2
自制牛排,味道,木瓜味饮料,2
自制牛排,味道,烤三黄鱼,2
自制牛排,味道,自制丸子,2
自制牛排,味道,自制牛排,2
自制牛排,味道,蛋糕,2
芒果千层,外形,三味山药,2
芒果千层,外形,大,2
芒果糯米糍,外形,小,2
芝士三文鱼焗卷,口感,刺身拼盘,2
芝士三文鱼焗卷,口感,海胆酱烧元贝,2
芝士三文鱼焗卷,口感,芝士三文鱼焗卷,2
芝士烤大虾,外形,老,2
苗玲酸汤鱼,外形,凉拌木耳,2
苗玲酸汤鱼,外形,家常茄子,2
苗玲酸汤鱼,外形,油焖,2
苗玲酸汤鱼,外形,码头酸汤鱼,2
苗玲酸汤鱼,外形,腐竹麦芹,2
苗玲酸汤鱼,外形,苗玲酸汤鱼,2
苗玲酸汤鱼,外形,茶,2
苹果鸭胸,味道,奶油土豆泥,2
苹果鸭胸,味道,奶香牛舌,2
苹果鸭胸,味道,炸猪扒,2
苹果鸭胸,味道,烤猪肉,2
苹果鸭胸,味道,牛舌,2
苹果鸭胸,味道,生鱼沙拉,2
苹果鸭胸,味道,苹果鸭胸,2
苹果鸭胸,味道,酸乳瓜,2
莲子汤,外形,养生菠萝莲子汤,2
莲子汤,外形,养生菠萝银耳汤,2
莲子汤,外形,莲子汤,2
蒸食年代原生态美食,口感,蒸食年代原生态美食,2
蓝天白云,外形,冰淇淋,2
蓝天白云,外形,奶酪鸡肉,2
蓝天白云,外形,芝士肉酱薯条,2
蓝天白云,外形,蓝天白云,2
蓝天白云,外形,酸奶吐司,2
蕃茄锅汤,味道,蕃茄锅汤,2
蕃茄锅汤,味道,黑鱼蕃茄锅,2
蛋饺,外形,多,2
蛋饺,外形,捞王,2
蛋饺,外形,火锅,2
蛋饺,外形,煲仔饭,2
蛋饺,外形,胡椒猪肚鸡,2
蛋饺,外形,香,2
蜜糖吐司,口感,冰淇淋,2
蜜糖吐司,口感,有机花菜,2
蜜糖吐司,口感,火锅,2
蜜糖吐司,口感,相思牛肉,2
蜜糖吐司,口感,蜜糖吐司,2
蜜糖吐司,口感,钵钵青菜,2
西柚多多,口感,七分甜,2
西柚多多,口感,芒果西米露,2
西柚多多,口感,芒果颗粒,2
西柚多多,口感,西柚多多,2
豆花鲜花饼,口感,五花肉,2
豆花鲜花饼,口感,大杂烩炒面,2
豆花鲜花饼,口感,布丁,2
豆花鲜花饼,口感,豆花鲜花饼,2
豆花鲜花饼,口感,鲜花饼,2
豉爆嫩兔,口感,仔姜蛙腿,2
豉爆嫩兔,口感,回锅肉,2
豉爆嫩兔,口感,豉爆嫩兔,2
