,A,B,C
74,香辣小龙虾,味道,香
75,香辣小龙虾,味道,甜味
76,香辣小龙虾,口感,没有味道
77,香辣小龙虾,口感,去头
78,香辣小龙虾,口感,干净
79,香辣小龙虾,外形,紧致弹
80,香辣小龙虾,外形,去头
81,食物,名称,油炸腐竹
82,油炸腐竹,味道,清甜味
83,油炸腐竹,味道,香
84,油炸腐竹,口感,油渣的香味
85,油炸腐竹,外形,油渣
86,油炸腐竹,外形,油渣
87,食物,名称,二郎田鸡
88,二郎田鸡,味道,新鲜
89,二郎田鸡,口感,清甜味
90,二郎田鸡,口感,紧致弹
91,二郎田鸡,口感,田鸡
92,二郎田鸡,口感,小龙虾
93,二郎田鸡,口感,香辣小龙虾
94,二郎田鸡,口感,香辣小龙虾
95,二郎田鸡,口感,二郎田鸡
96,二郎田鸡,口感,田鸡
97,二郎田鸡,口感,田鸡腿
98,二郎田鸡,口感,白锅汤
99,二郎田鸡,口感,田鸡
100,二郎田鸡,口感,香辣小龙虾
101,二郎田鸡,口感,油炸腐竹
102,二郎田鸡,口感,二郎田鸡
103,二郎田鸡,口感,田鸡
104,二郎田鸡,口感,小龙虾
105,二郎田鸡,口感,香辣小龙虾
106,二郎田鸡,口感,香辣小龙虾
107,二郎田鸡,口感,二郎田鸡
108,二郎田鸡,口感,田鸡
109,二郎田鸡,口感,田鸡腿
110,二郎田鸡,口感,白锅汤
111,二郎田鸡,口感,田鸡
112,二郎田鸡,口感,香辣小龙虾
113,二郎田鸡,口感,油炸腐竹
114,二郎田鸡,口感,二郎田鸡
115,,,牛排
116,,,鹅肝炒饭
117,,,青柠苏打
118,食物,名称,鸡茸蘑菇汤
119,鸡茸蘑菇汤,外形,足
120,鸡茸蘑菇汤,外形,蛋糕
121,鸡茸蘑菇汤,外形,牛排
122,鸡茸蘑菇汤,外形,鹅肝炒饭
123,鸡茸蘑菇汤,外形,青柠苏打
124,鸡茸蘑菇汤,外形,鸡茸蘑菇汤
125,鸡茸蘑菇汤,外形,蛋糕
126,鸡茸蘑菇汤,外形,牛排
127,鸡茸蘑菇汤,外形,鹅肝炒饭
128,鸡茸蘑菇汤,外形,青柠苏打
129,鸡茸蘑菇汤,外形,鸡茸蘑菇汤
130,鸡茸蘑菇汤,外形,蛋糕
131,食物,名称,海胆酱烧元贝
132,海胆酱烧元贝,口感,浓浓的
133,海胆酱烧元贝,口感,铺满表层
134,海胆酱烧元贝,外形,浓浓的
135,海胆酱烧元贝,外形,铺满表层
136,食物,名称,刺身拼盘
137,刺身拼盘,味道,鲜
138,食物,名称,芝士三文鱼焗卷
139,芝士三文鱼焗卷,口感,芝士香味
140,芝士三文鱼焗卷,口感,微煎过的
141,芝士三文鱼焗卷,口感,寿司
142,芝士三文鱼焗卷,口感,海胆酱烧元贝
143,芝士三文鱼焗卷,口感,刺身拼盘
144,芝士三文鱼焗卷,口感,芝士三文鱼焗卷
145,芝士三文鱼焗卷,口感,寿司
146,芝士三文鱼焗卷,口感,海胆酱烧元贝
147,芝士三文鱼焗卷,口感,刺身拼盘
148,芝士三文鱼焗卷,口感,芝士三文鱼焗卷
149,芝士三文鱼焗卷,口感,寿司
150,食物,名称,味增汤
151,味增汤,味道,咸咸的
152,味增汤,味道,鲜鲜的
153,味增汤,味道,腥
154,食物,名称,沙拉
155,沙拉,口感,新鲜
156,沙拉,口感,爽口
157,食物,名称,脆皮豆腐
158,脆皮豆腐,口感,有味道
159,脆皮豆腐,口感,不油腻
160,脆皮豆腐,口感,生涩
161,脆皮豆腐,口感,酥脆
162,食物,名称,饭
163,饭,口感,软烂
164,饭,口感,欠缺了一点点口感
165,食物,名称,炸豆腐
166,炸豆腐,口感,有味道
167,炸豆腐,口感,生涩
168,食物,名称,奶酪猪排
169,奶酪猪排,口感,不油腻
170,奶酪猪排,口感,酥脆
171,食物,名称,雪花牛肉套餐
172,雪花牛肉套餐,口感,入味
173,雪花牛肉套餐,外形,软烂
174,雪花牛肉套餐,外形,大片
175,食物,名称,猪排
176,猪排,口感,酥脆
177,猪排,口感,香嫩
178,猪排,口感,不油腻
179,食物,名称,樱花
180,樱花,味道,香甜
181,樱花,味道,味增汤
182,樱花,味道,沙拉
183,樱花,味道,脆皮豆腐
184,樱花,味道,饭
185,樱花,味道,炸豆腐
186,樱花,味道,奶酪猪排
187,樱花,味道,雪花牛肉套餐
188,樱花,味道,猪排
189,樱花,味道,樱花
190,樱花,味道,味增汤
191,樱花,味道,沙拉
192,樱花,味道,脆皮豆腐
193,樱花,味道,饭
194,樱花,味道,炸豆腐
195,樱花,味道,奶酪猪排
196,樱花,味道,雪花牛肉套餐
197,樱花,味道,猪排
198,樱花,味道,樱花
199,食物,名称,小卤肉饭
200,小卤肉饭,外形,浓郁
201,小卤肉饭,外形,小小的
202,小卤肉饭,外形,小卤肉饭
203,小卤肉饭,外形,小卤肉饭
204,食物,名称,剁椒牛肉米线
205,剁椒牛肉米线,口感,辣
206,剁椒牛肉米线,外形,井然有序
207,剁椒牛肉米线,外形,多
208,剁椒牛肉米线,外形,光滑明亮
209,食物,名称,米线
210,米线,味道,棒
211,米线,外形,辣
212,米线,外形,光滑明亮
213,食物,名称,剁椒牛肉米线
214,剁椒牛肉米线,口感,辣
215,剁椒牛肉米线,外形,井然有序
216,剁椒牛肉米线,外形,多
217,剁椒牛肉米线,外形,光滑明亮
218,食物,名称,米线
219,米线,味道,棒
220,米线,外形,辣
221,米线,外形,光滑明亮
222,食物,名称,米线
223,米线,味道,棒
224,米线,外形,辣
225,米线,外形,光滑明亮
226,食物,名称,米线
227,米线,味道,棒
228,米线,外形,辣
229,米线,外形,光滑明亮
230,食物,名称,番茄牛腩米线
231,番茄牛腩米线,外形,光滑明亮
232,番茄牛腩米线,外形,光滑明亮
233,番茄牛腩米线,外形,剁椒牛肉米线
234,番茄牛腩米线,外形,米线
235,番茄牛腩米线,外形,剁椒牛肉米线
236,番茄牛腩米线,外形,米线
237,番茄牛腩米线,外形,米线
238,番茄牛腩米线,外形,米线
239,番茄牛腩米线,外形,番茄牛腩米线
240,番茄牛腩米线,外形,剁椒牛肉米线
241,番茄牛腩米线,外形,米线
242,番茄牛腩米线,外形,剁椒牛肉米线
243,番茄牛腩米线,外形,米线
244,番茄牛腩米线,外形,米线
245,番茄牛腩米线,外形,米线
246,番茄牛腩米线,外形,番茄牛腩米线
247,食物,名称,酸梅汤
248,酸梅汤,味道,川辣
249,食物,名称,酸辣粉
250,酸辣粉,味道,辣味儿
251,酸辣粉,味道,地道
252,酸辣粉,味道,川辣
253,食物,名称,剁椒鱼头
254,剁椒鱼头,口感,辣
255,剁椒鱼头,口感,软烂鲜香
256,剁椒鱼头,口感,入口即化
257,食物,名称,酸辣粉
258,酸辣粉,味道,辣味儿
259,酸辣粉,味道,地道
260,酸辣粉,味道,川辣
261,食物,名称,宫保虾球
262,宫保虾球,味道,川辣
263,食物,名称,担担面
264,担担面,味道,川辣
265,担担面,味道,地道
266,担担面,味道,辣味儿
267,担担面,味道,川味儿
268,食物,名称,梅菜扣肉
269,梅菜扣肉,味道,辣味儿
270,梅菜扣肉,口感,鲜香
271,梅菜扣肉,口感,入口即化
272,梅菜扣肉,外形,软烂鲜香
273,梅菜扣肉,外形,五花肉片
274,食物,名称,担担面
275,担担面,味道,川辣
276,担担面,味道,地道
277,担担面,味道,辣味儿
278,担担面,味道,川味儿
279,食物,名称,五花肉片
280,五花肉片,口感,鲜香
281,五花肉片,口感,软烂鲜香
282,五花肉片,口感,入口即化
283,食物,名称,松仁玉米
284,松仁玉米,味道,川辣
285,食物,名称,剁椒鱼头
286,剁椒鱼头,口感,辣
287,剁椒鱼头,口感,软烂鲜香
288,剁椒鱼头,口感,入口即化
289,食物,名称,糯米藕
290,糯米藕,味道,川辣
291,食物,名称,梅菜扣肉
292,梅菜扣肉,味道,辣味儿
293,梅菜扣肉,口感,鲜香
294,梅菜扣肉,口感,入口即化
295,梅菜扣肉,外形,软烂鲜香
296,梅菜扣肉,外形,五花肉片
297,食物,名称,金银小馒头
298,金银小馒头,味道,川辣
299,食物,名称,烤鸭
300,烤鸭,味道,川辣
301,食物,名称,眉州香肠
302,眉州香肠,味道,川辣
303,眉州香肠,味道,酸梅汤
304,眉州香肠,味道,酸辣粉
305,眉州香肠,味道,剁椒鱼头
306,眉州香肠,味道,酸辣粉
307,眉州香肠,味道,宫保虾球
308,眉州香肠,味道,担担面
309,眉州香肠,味道,梅菜扣肉
310,眉州香肠,味道,担担面
311,眉州香肠,味道,五花肉片
312,眉州香肠,味道,松仁玉米
313,眉州香肠,味道,剁椒鱼头
314,眉州香肠,味道,糯米藕
315,眉州香肠,味道,梅菜扣肉
316,眉州香肠,味道,金银小馒头
317,眉州香肠,味道,烤鸭
318,眉州香肠,味道,眉州香肠
319,眉州香肠,味道,酸梅汤
320,眉州香肠,味道,酸辣粉
321,眉州香肠,味道,剁椒鱼头
322,眉州香肠,味道,酸辣粉
323,眉州香肠,味道,宫保虾球
324,眉州香肠,味道,担担面
325,眉州香肠,味道,梅菜扣肉
326,眉州香肠,味道,担担面
327,眉州香肠,味道,五花肉片
328,眉州香肠,味道,松仁玉米
329,眉州香肠,味道,剁椒鱼头
330,眉州香肠,味道,糯米藕
331,眉州香肠,味道,梅菜扣肉
332,眉州香肠,味道,金银小馒头
333,眉州香肠,味道,烤鸭
334,眉州香肠,味道,眉州香肠
335,食物,名称,东北油豆炖排骨
336,东北油豆炖排骨,味道,排骨味
337,食物,名称,黄瓜丝拌猪耳朵
338,黄瓜丝拌猪耳朵,外形,足
339,黄瓜丝拌猪耳朵,外形,足
340,食物,名称,锅包肉
341,锅包肉,口感,冲
342,锅包肉,口感,多
343,锅包肉,外形,冲
344,锅包肉,外形,多
345,食物,名称,牛肉炖土豆
346,牛肉炖土豆,外形,排骨味
347,牛肉炖土豆,外形,卖相不好
348,牛肉炖土豆,外形,双味花生拼盘
349,食物,名称,东南亚菜
350,东南亚菜,味道,地道家常菜
351,食物,名称,凉拌粉皮子
352,凉拌粉皮子,口感,爽
353,食物,名称,韭菜盒子
354,韭菜盒子,口感,野菜香味
355,韭菜盒子,口感,现做现烙
356,食物,名称,野菜丸子
357,野菜丸子,口感,野菜香味
358,野菜丸子,口感,酥
359,野菜丸子,口感,脆
360,食物,名称,猪肘子
361,猪肘子,口感,入味
362,猪肘子,口感,烂
363,猪肘子,口感,东北油豆炖排骨
364,猪肘子,口感,黄瓜丝拌猪耳朵
365,猪肘子,口感,锅包肉
366,猪肘子,口感,牛肉炖土豆
367,猪肘子,口感,双味花生拼盘
368,猪肘子,口感,东南亚菜
369,猪肘子,口感,凉拌粉皮子
370,猪肘子,口感,韭菜盒子
371,猪肘子,口感,野菜丸子
372,猪肘子,口感,猪肘子
373,猪肘子,口感,东北油豆炖排骨
374,猪肘子,口感,黄瓜丝拌猪耳朵
375,猪肘子,口感,锅包肉
376,猪肘子,口感,牛肉炖土豆
377,猪肘子,口感,双味花生拼盘
378,猪肘子,口感,东南亚菜
379,猪肘子,口感,凉拌粉皮子
380,猪肘子,口感,韭菜盒子
381,猪肘子,口感,野菜丸子
382,猪肘子,口感,猪肘子
383,食物,名称,舌尖中国
384,舌尖中国,味道,古色古香
385,食物,名称,面馆
386,面馆,口感,咸
387,面馆,外形,粗大
388,面馆,外形,粗大
389,食物,名称,三鲜面
390,三鲜面,口感,咸
391,三鲜面,外形,粗大
392,三鲜面,外形,粗大
393,三鲜面,外形,舌尖中国
394,三鲜面,外形,面馆
395,三鲜面,外形,三鲜面
396,三鲜面,外形,舌尖中国
397,三鲜面,外形,面馆
398,三鲜面,外形,三鲜面
399,,,酸辣粉
400,食物,名称,皮蛋瘦肉粥
401,皮蛋瘦肉粥,口感,舒服
402,食物,名称,养生粥
403,养生粥,外形,新颖别致
404,食物,名称,肉夹馍
405,肉夹馍,外形,脆酥的
406,肉夹馍,外形,现烤的
407,食物,名称,海鲜粥
408,海鲜粥,口感,舒服
409,食物,名称,普洱茶叶蛋
410,普洱茶叶蛋,味道,有味道儿
411,食物,名称,养生粥
412,养生粥,外形,新颖别致
413,养生粥,外形,米面皮
414,养生粥,外形,米面皮
415,养生粥,外形,担担面
416,食物,名称,南瓜粥
417,南瓜粥,口感,舒服
418,南瓜粥,口感,酸辣粉
419,食物,名称,肉夹馍
420,肉夹馍,外形,脆酥的
421,肉夹馍,外形,现烤的
422,肉夹馍,外形,酸辣粉
423,肉夹馍,外形,皮蛋瘦肉粥
424,肉夹馍,外形,养生粥
425,肉夹馍,外形,肉夹馍
426,肉夹馍,外形,海鲜粥
427,肉夹馍,外形,普洱茶叶蛋
428,肉夹馍,外形,养生粥
429,肉夹馍,外形,米面皮
430,肉夹馍,外形,米面皮
431,肉夹馍,外形,担担面
432,肉夹馍,外形,南瓜粥
433,肉夹馍,外形,酸辣粉
434,肉夹馍,外形,肉夹馍
435,肉夹馍,外形,酸辣粉
436,肉夹馍,外形,皮蛋瘦肉粥
437,肉夹馍,外形,养生粥
438,肉夹馍,外形,肉夹馍
439,肉夹馍,外形,海鲜粥
440,肉夹馍,外形,普洱茶叶蛋
441,肉夹馍,外形,养生粥
442,肉夹馍,外形,米面皮
443,肉夹馍,外形,米面皮
444,肉夹馍,外形,担担面
445,肉夹馍,外形,南瓜粥
446,肉夹馍,外形,酸辣粉
447,肉夹馍,外形,肉夹馍
448,食物,名称,拉面
449,拉面,外形,不艳俗
450,拉面,外形,红绿的
451,拉面,外形,豚骨拉面
452,食物,名称,面条
453,面条,外形,不大
454,食物,名称,拉面
455,拉面,外形,不艳俗
456,拉面,外形,红绿的
457,食物,名称,兰拉面
458,兰拉面,外形,不艳俗
459,兰拉面,外形,红绿的
460,兰拉面,外形,博多拉面
461,食物,名称,叉烧肉
462,叉烧肉,口感,少
463,叉烧肉,外形,少
464,叉烧肉,外形,少
465,食物,名称,兰拉面
466,兰拉面,外形,不艳俗
467,兰拉面,外形,红绿的
468,兰拉面,外形,拉面
469,兰拉面,外形,豚骨拉面
470,兰拉面,外形,面条
471,兰拉面,外形,拉面
472,兰拉面,外形,兰拉面
473,兰拉面,外形,博多拉面
474,兰拉面,外形,叉烧肉
475,兰拉面,外形,兰拉面
476,兰拉面,外形,拉面
477,兰拉面,外形,豚骨拉面
478,兰拉面,外形,面条
479,兰拉面,外形,拉面
480,兰拉面,外形,兰拉面
481,兰拉面,外形,博多拉面
482,兰拉面,外形,叉烧肉
483,兰拉面,外形,兰拉面
484,,,火锅
485,,,鬼饮食
486,,,烧烤
487,,,烧烤
488,,,烧烤
489,食物,名称,生牛肉
490,生牛肉,口感,涩感
491,食物,名称,三文鱼
492,三文鱼,外形,特别
493,三文鱼,外形,烧烤
494,食物,名称,五花肉
495,五花肉,口感,干
496,五花肉,口感,肥瘦合适
497,五花肉,口感,干
498,食物,名称,泡椒茄子
499,泡椒茄子,外形,入味
500,泡椒茄子,外形,小了些
501,食物,名称,排骨
502,排骨,口感,香
503,排骨,外形,大坨
504,排骨,外形,大坨
505,食物,名称,麻辣宽粉
506,麻辣宽粉,外形,入味
507,麻辣宽粉,外形,不算大
508,麻辣宽粉,外形,火锅
509,麻辣宽粉,外形,鬼饮食
510,麻辣宽粉,外形,烧烤
511,麻辣宽粉,外形,烧烤
512,麻辣宽粉,外形,烧烤
513,麻辣宽粉,外形,生牛肉
514,麻辣宽粉,外形,三文鱼
515,麻辣宽粉,外形,烧烤
516,麻辣宽粉,外形,五花肉
517,麻辣宽粉,外形,泡椒茄子
518,麻辣宽粉,外形,排骨
519,麻辣宽粉,外形,麻辣宽粉
520,麻辣宽粉,外形,火锅
521,麻辣宽粉,外形,鬼饮食
522,麻辣宽粉,外形,烧烤
523,麻辣宽粉,外形,烧烤
524,麻辣宽粉,外形,烧烤
525,麻辣宽粉,外形,生牛肉
526,麻辣宽粉,外形,三文鱼
527,麻辣宽粉,外形,烧烤
528,麻辣宽粉,外形,五花肉
529,麻辣宽粉,外形,泡椒茄子
530,麻辣宽粉,外形,排骨
531,麻辣宽粉,外形,麻辣宽粉
532,,,肉丸子
533,食物,名称,菠萝飞饼
534,菠萝飞饼,口感,油腻
535,菠萝飞饼,口感,糯米团子
536,食物,名称,珍珠肉丸
537,珍珠肉丸,外形,肉丸子
538,食物,名称,米粉米线
539,米粉米线,口感,一点都不筋道
540,米粉米线,外形,一点都不筋道
541,米粉米线,外形,宽的
542,食物,名称,臭豆腐
543,臭豆腐,味道,没任何臭味
544,臭豆腐,外形,辣
545,臭豆腐,外形,干干焦焦的
546,食物,名称,糖油粑粑
547,糖油粑粑,口感,好甜
548,糖油粑粑,口感,凉了
549,食物,名称,牛肉米线
550,牛肉米线,口感,烂烂
551,牛肉米线,口感,肉丸子
552,牛肉米线,口感,菠萝飞饼
553,牛肉米线,口感,糯米团子
554,牛肉米线,口感,珍珠肉丸
555,牛肉米线,口感,米粉米线
556,牛肉米线,口感,臭豆腐
557,牛肉米线,口感,糖油粑粑
558,牛肉米线,口感,牛肉米线
559,牛肉米线,口感,肉丸子
560,牛肉米线,口感,菠萝飞饼
561,牛肉米线,口感,糯米团子
562,牛肉米线,口感,珍珠肉丸
563,牛肉米线,口感,米粉米线
564,牛肉米线,口感,臭豆腐
565,牛肉米线,口感,糖油粑粑
566,牛肉米线,口感,牛肉米线
567,食物,名称,烤鱼
568,烤鱼,外形,特色
569,食物,名称,鸡爪
570,鸡爪,外形,特色
571,鸡爪,外形,特色
572,食物,名称,烤鱼
573,烤鱼,外形,特色
574,食物,名称,烤鱼
575,烤鱼,外形,特色
576,食物,名称,鸡爪
577,鸡爪,外形,特色
578,鸡爪,外形,特色
579,食物,名称,烤鱼
580,烤鱼,外形,特色
581,烤鱼,外形,烤鱼
582,烤鱼,外形,鸡爪
583,烤鱼,外形,烤鱼
584,烤鱼,外形,烤鱼
585,烤鱼,外形,鸡爪
586,烤鱼,外形,烤鱼
587,烤鱼,外形,烤鱼
588,烤鱼,外形,鸡爪
589,烤鱼,外形,烤鱼
590,烤鱼,外形,烤鱼
591,烤鱼,外形,鸡爪
592,烤鱼,外形,烤鱼
593,食物,名称,回锅肉
594,回锅肉,外形,水水的
595,回锅肉,外形,水水的
596,食物,名称,仔姜蛙腿
597,仔姜蛙腿,口感,新鲜
598,仔姜蛙腿,口感,烂
599,食物,名称,豉爆嫩兔
600,豉爆嫩兔,口感,沸腾
601,豉爆嫩兔,口感,回锅肉
602,豉爆嫩兔,口感,仔姜蛙腿
603,豉爆嫩兔,口感,豉爆嫩兔
604,豉爆嫩兔,口感,回锅肉
605,豉爆嫩兔,口感,仔姜蛙腿
606,豉爆嫩兔,口感,豉爆嫩兔
607,食物,名称,沙拉自助
608,沙拉自助,味道,安全卫生
609,沙拉自助,外形,好吃
610,沙拉自助,外形,齐全
611,食物,名称,沙拉
612,沙拉,味道,安全卫生
613,沙拉,外形,好吃
614,沙拉,外形,齐全
615,沙拉,外形,披萨
616,沙拉,外形,沙拉自助
617,沙拉,外形,沙拉
618,沙拉,外形,披萨
619,沙拉,外形,沙拉自助
620,沙拉,外形,沙拉
621,沙拉,外形,披萨
622,食物,名称,番茄麻辣锅
623,番茄麻辣锅,味道,鲜辣麻
624,番茄麻辣锅,味道,浓郁
625,番茄麻辣锅,味道,火锅
626,番茄麻辣锅,味道,海底捞
627,番茄麻辣锅,味道,海底捞
628,番茄麻辣锅,味道,番茄麻辣锅
629,番茄麻辣锅,味道,火锅
630,番茄麻辣锅,味道,海底捞
631,番茄麻辣锅,味道,海底捞
632,番茄麻辣锅,味道,番茄麻辣锅
633,番茄麻辣锅,味道,火锅
634,番茄麻辣锅,味道,海底捞
635,番茄麻辣锅,味道,海底捞
636,食物,名称,松茸汤
637,松茸汤,口感,清淡鲜香
638,松茸汤,口感,清淡鲜香
639,食物,名称,鳗鱼寿司
640,鳗鱼寿司,口感,新鲜
641,鳗鱼寿司,外形,薄厚适中
642,鳗鱼寿司,外形,薄厚适中
643,食物,名称,寿司
644,寿司,口感,新鲜
645,寿司,外形,薄厚适中
646,寿司,外形,薄厚适中
647,食物,名称,三文鱼寿司
648,三文鱼寿司,口感,新鲜
649,三文鱼寿司,外形,薄厚适中
650,三文鱼寿司,外形,薄厚适中
651,三文鱼寿司,外形,松茸汤
652,三文鱼寿司,外形,鳗鱼寿司
653,三文鱼寿司,外形,寿司
654,三文鱼寿司,外形,三文鱼寿司
655,三文鱼寿司,外形,松茸汤
656,三文鱼寿司,外形,鳗鱼寿司
657,三文鱼寿司,外形,寿司
658,三文鱼寿司,外形,三文鱼寿司
659,食物,名称,烧仙草
660,烧仙草,味道,文艺气息
661,烧仙草,口感,小清新
662,烧仙草,外形,细腻柔滑
663,烧仙草,外形,不算大
664,烧仙草,外形,小清新
665,食物,名称,红豆烧仙草
666,红豆烧仙草,口感,小清新
667,红豆烧仙草,外形,细腻柔滑
668,红豆烧仙草,外形,不算大
669,红豆烧仙草,外形,小清新
670,食物,名称,芒果绵绵冰
671,芒果绵绵冰,外形,超巨
672,芒果绵绵冰,外形,霸王餐
673,食物,名称,奶茶烧仙草
674,奶茶烧仙草,味道,文艺气息
675,奶茶烧仙草,口感,小清新
676,奶茶烧仙草,外形,细腻柔滑
677,奶茶烧仙草,外形,不算大
678,奶茶烧仙草,外形,小清新
679,奶茶烧仙草,外形,烧仙草
680,奶茶烧仙草,外形,红豆烧仙草
681,奶茶烧仙草,外形,芒果绵绵冰
682,奶茶烧仙草,外形,霸王餐
683,奶茶烧仙草,外形,奶茶烧仙草
684,奶茶烧仙草,外形,烧仙草
685,奶茶烧仙草,外形,红豆烧仙草
686,奶茶烧仙草,外形,芒果绵绵冰
687,奶茶烧仙草,外形,霸王餐
688,奶茶烧仙草,外形,奶茶烧仙草
689,,,米星
690,,,米星
691,,,米星
692,食物,名称,饺子
693,饺子,口感,不错
694,食物,名称,土豆丝卷饼
695,土豆丝卷饼,味道,醋的香味
696,土豆丝卷饼,味道,浓香
697,土豆丝卷饼,味道,饺子
698,土豆丝卷饼,味道,土豆丝卷饼
699,土豆丝卷饼,味道,饺子
700,土豆丝卷饼,味道,土豆丝卷饼
701,食物,名称,多宝鱼
702,多宝鱼,味道,不怎么新
703,多宝鱼,味道,多宝鱼
704,多宝鱼,味道,多宝鱼
705,食物,名称,新天烘焙
706,新天烘焙,味道,好吃
707,食物,名称,肉松面包
708,肉松面包,味道,好吃
709,食物,名称,椰蓉面包
710,椰蓉面包,味道,好吃
711,椰蓉面包,味道,新天烘焙
712,椰蓉面包,味道,肉松面包
713,椰蓉面包,味道,椰蓉面包
714,椰蓉面包,味道,新天烘焙
715,椰蓉面包,味道,肉松面包
716,椰蓉面包,味道,椰蓉面包
717,食物,名称,肯德基
718,肯德基,外形,横着出去
719,食物,名称,肯德基
720,肯德基,外形,横着出去
721,食物,名称,肯德基
722,肯德基,外形,横着出去
723,食物,名称,感恩桶
724,感恩桶,外形,横着出去
725,食物,名称,老北套餐
726,老北套餐,外形,横着出去
727,老北套餐,外形,肯德基
728,老北套餐,外形,肯德基
729,老北套餐,外形,肯德基
730,老北套餐,外形,感恩桶
731,老北套餐,外形,老北套餐
732,老北套餐,外形,肯德基
733,老北套餐,外形,肯德基
734,老北套餐,外形,肯德基
735,老北套餐,外形,感恩桶
736,老北套餐,外形,老北套餐
737,,,烤鱼
738,食物,名称,咖喱大虾
739,咖喱大虾,口感,不新鲜
740,咖喱大虾,外形,软趴趴的
741,咖喱大虾,外形,软趴趴的
742,食物,名称,烤猪颈肉
743,烤猪颈肉,口感,肥腻
744,烤猪颈肉,口感,烤鱼
745,烤猪颈肉,口感,烤鱼
746,烤猪颈肉,口感,烤鱼
747,烤猪颈肉,口感,烤鱼
748,烤猪颈肉,口感,咖喱大虾
749,烤猪颈肉,口感,烤猪颈肉
750,烤猪颈肉,口感,烤鱼
751,烤猪颈肉,口感,烤鱼
752,烤猪颈肉,口感,烤鱼
753,烤猪颈肉,口感,烤鱼
754,烤猪颈肉,口感,咖喱大虾
755,烤猪颈肉,口感,烤猪颈肉
756,烤猪颈肉,口感,烤鱼
757,烤猪颈肉,口感,烤鱼
758,烤猪颈肉,口感,烤鱼
759,食物,名称,烤羊棒
760,烤羊棒,外形,大
761,烤羊棒,外形,烤羊腿
762,食物,名称,西贝
763,西贝,口感,爽
764,食物,名称,沙棘汁
765,沙棘汁,味道,浓郁
766,沙棘汁,味道,酸
767,沙棘汁,味道,浓郁
768,沙棘汁,味道,酸汤莜面鱼鱼
769,食物,名称,黄米凉糕
770,黄米凉糕,口感,甜的
771,黄米凉糕,口感,腻
772,黄米凉糕,口感,香甜软糯
773,食物,名称,龙之梦
774,龙之梦,口感,爽
775,龙之梦,口感,烤羊棒
776,龙之梦,口感,烤羊腿
777,龙之梦,口感,西贝
778,龙之梦,口感,沙棘汁
779,龙之梦,口感,酸汤莜面鱼鱼
780,龙之梦,口感,黄米凉糕
781,龙之梦,口感,龙之梦
782,龙之梦,口感,烤羊棒
783,龙之梦,口感,烤羊腿
784,龙之梦,口感,西贝
785,龙之梦,口感,沙棘汁
786,龙之梦,口感,酸汤莜面鱼鱼
787,龙之梦,口感,黄米凉糕
788,龙之梦,口感,龙之梦
789,食物,名称,冰淇淋
790,冰淇淋,外形,耀眼
791,冰淇淋,外形,冰淇淋
792,冰淇淋,外形,冰淇淋
793,食物,名称,烧饼
